City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
396,Ostrovnoy,RU,68.0531,39.5131,45.95,89,57,7.23,broken clouds
397,Los Llanos De Aridane,ES,28.6585,-17.9182,73.13,57,75,16.11,broken clouds
398,Vynohradove,UA,46.3696,32.9398,73.62,32,0,9.46,clear sky
399,Port Shepstone,ZA,-30.7414,30.455,64.76,80,90,20.33,light rain
400,Narsaq,GL,60.9167,-46.05,52.02,81,70,3.69,broken clouds
401,Santa Ines,BR,-3.6667,-45.38,76.91,60,18,4.99,few clouds
402,Medicine Hat,CA,50.0501,-110.6683,94.19,16,20,8.05,few clouds
403,Astana,KZ,51.1801,71.446,58.95,94,40,4.47,scattered clouds
404,Darhan,MN,49.4867,105.9228,62.1,74,93,3.94,light rain
405,Ust-Kuyga,RU,70.0167,135.6,64.54,56,100,0.78,overcast clouds
406,Corrente,BR,-3.7367,-43.3394,75.51,61,12,5.59,few clouds
407,Brae,GB,60.3964,-1.353,55.65,97,100,9.55,overcast clouds
408,Poronaysk,RU,49.2167,143.1167,72.0,64,9,7.45,clear sky
409,Starkville,US,33.4504,-88.8184,89.26,77,88,8.88,overcast clouds
410,Mayumba,GA,-3.432,10.6554,69.42,94,100,1.79,overcast clouds
411,Ushtobe,KZ,45.2514,77.9838,72.37,50,64,7.45,broken clouds
412,Ayan,RU,56.45,138.1667,54.45,98,100,20.76,moderate rain
413,Half Moon Bay,US,37.4636,-122.4286,83.05,65,0,19.57,clear sky
414,Novikovo,RU,51.1537,37.8879,69.1,70,72,4.41,broken clouds
415,Moree,AU,-29.4667,149.85,55.81,53,0,4.16,clear sky
416,Mugumu,TZ,-1.85,34.7,65.7,51,82,2.8,broken clouds
417,Bang Saphan,TH,11.2126,99.5117,74.93,92,100,4.83,overcast clouds
418,Linkoping,SE,58.4109,15.6216,51.98,96,22,2.3,few clouds
419,Wadi Maliz,TN,36.4681,8.5495,80.26,60,0,3.29,clear sky
420,Pokhara,NP,28.2333,83.9833,72.63,89,99,3.62,overcast clouds
421,Kpalime,TG,6.9,0.6333,69.67,90,99,2.82,overcast clouds
